Aa 	abbr
Aardvark 	n
Aback 	adv
Abacus 	n
Abaft 	naut
Abandoned 	adj
Abase 	v
Abashed 	predic
Abate 	v
Abattoir 	n
Abbacy 	n
Abbess 	n
Abbey 	n
Abbot 	n
Abbreviate 	v
Abc 	n
Abdicate 	v
Abdomen 	n
Abduct 	v
Abeam 	adv
Aberdeen angus 	n
Aberrant 	adj
Aberration 	n
Abet 	v
Abeyance 	n
Abhor 	v
Abhorrence 	n
Abhorrent 	adj
Abide 	v
Abiding 	adj
Ability 	n
Ab initio 	adv
Abject 	adj
Abjure 	v
Ablative 	gram
Ablaze 	predic
Able 	adj
Able-bodied 	adj
Able-bodied seaman 	n
Ablution 	n
Abm 	abbr
Abnegate 	v
Abnegation 	n
Abnormal 	adj
Aboard 	adv
Abolish 	v
Abolition 	n
A-bomb 	n
Abominable 	adj
Abominable snowman 	n
Abominate 	v
Aborigine 	n
Abort 	v
Abortion 	n
Aborigine 	n
Abort 	v
Abortion 	n
Abortive 	adj
Abound 	v
About-face 	n
Above-board 	adj
Abrade 	v
Abrasion 	n
Abreast 	adv
Abridge 	v
Abroad 	adv
Abrogate 	v
Abrupt 	adj
Abscess 	n
Absence 	n
Absentee 	n
Absenteeism 	n
Absentee landlord 	n
Absent-minded 	adj
Absinth 	n
Absolutely 	adv
Absolute majority 	n
Absolute pitch 	n
Absolute temperature 	n
Absolute zero 	n
Absolution 	n
Absolutism 	n
Absolve 	v
Absorb 	v
Absorption 	n
Abstain 	v
Abstemious 	adj
Abstention 	n
Abstinence 	n
Abstracted 	adj
Abstraction 	n
Abstruse 	adj
Absurd 	adj
Abta 	abbr
Abundance 	n
Abundance 	n
Abundant 	adj
Abusive 	adj
Abut 	v
Abutment 	n
Abuzz 	adv
Abysmal 	adj
Abyss 	n
Ac 	abbr
Ac 	symb
Acacia 	n
Academia 	n
Academician 	n
Academy 	n
Acanthus 	n
A cappella 	adj
Acas 	abbr
Accede 	v
Accelerate 	v
Accelerator 	n
Accentuate 	v
Accept 	v
Acceptable 	adj
Acceptance 	n
Accessible 	adj
Accessory 	n
Access road 	n
Access time 	n
Accident 	n
